Country/Region,Confirmed
Western Sahara,10
Holy See,12
Greenland,14
Saint Kitts and Nevis,17
Dominica,18
Laos,20
Grenada,23
Timor-Leste,24
Saint Lucia,24
Fiji,27
Belize,48
Saint Vincent and the Grenadines,52
Papua New Guinea,62
Antigua and Barbuda,86
Liechtenstein,86
Bhutan,99
Barbados,110
Seychelles,114
Monaco,116
Brunei,141
Trinidad and Tobago,148
Cambodia,226
Eritrea,265
Mongolia,289
Gambia,326
Mauritius,344
Burma,350
Comoros,354
Burundi,378
Bahamas,382
Guyana,389
Vietnam,431
Taiwan*,462
Lesotho,505
Tanzania,509
Syria,674
San Marino,699
Malta,701
Botswana,739
Jamaica,853
Sao Tome and Principe,865
Togo,874
Andorra,907
Chad,922
Angola,950
Cyprus,1060
Burkina Faso,1100
Uganda,1128
Niger,1132
Georgia,1137
Liberia,1167
Jordan,1176
Uruguay,1202
Latvia,1219
Tunisia,1455
Suriname,1483
New Zealand,1557
Yemen,1691
Mozambique,1701
Benin,1770
Sierra Leone,1783
Namibia,1843
Iceland,1854
Rwanda,1879
Guinea-Bissau,1954
Lithuania,2019
Estonia,2034
Slovenia,2087
Slovakia,2181
South Sudan,2305
Eswatini,2316
Cabo Verde,2328
Mali,2513
Cuba,2532
Zimbabwe,2704
Sri Lanka,2805
Libya,2827
Montenegro,2893
Equatorial Guinea,3071
Somalia,3196
Congo (Brazzaville),3200
Thailand,3297
Maldives,3369
Nicaragua,3439
Malawi,3664
Lebanon,3882
Greece,4227
Hungary,4448
Paraguay,4548
Zambia,4552
Central African Republic,4599
Albania,4880
Croatia,4881
Djibouti,5059
Mauritania,6208
Luxembourg,6321
Guinea,7055
Gabon,7189
Tajikistan,7235
Haiti,7340
Finland,7398
Kosovo,7413
Congo (Kinshasa),8844
Malaysia,8904
Norway,9132
Madagascar,9690
Senegal,9764
North Macedonia,10213
Bosnia and Herzegovina,10498
Bulgaria,10621
West Bank and Gaza,10621
Sudan,11424
Denmark,13761
South Korea,14203
Ethiopia,14547
El Salvador,15035
Australia,15303
Czechia,15516
Cote d'Ivoire,15655
Costa Rica,15841
Venezuela,15988
Cameroon,17110
Kenya,17975
Nepal,18752
Austria,20558
Morocco,20887
Uzbekistan,21209
Moldova,23154
Serbia,24141
Ireland,25892
Algeria,27973
Azerbaijan,30446
Japan,31142
Kyrgyzstan,33296
Ghana,33624
Switzerland,34477
Afghanistan,36263
Armenia,37390
Bahrain,39482
Honduras,39741
Nigeria,41180
Poland,43402
Guatemala,45309
Romania,45902
Portugal,50299
Singapore,50838
Netherlands,53413
United Arab Emirates,59177
Panama,61442
Israel,63985
Dominican Republic,64156
Kuwait,64379
Belgium,66428
Ukraine,67096
Belarus,67251
Bolivia,71181
Oman,77058
Sweden,79395
Ecuador,81161
Philippines,82040
Kazakhstan,84648
China,86783
Egypt,92482
Indonesia,100303
Qatar,109597
Iraq,112585
Canada,116458
Argentina,167416
Germany,207112
France,220352
Bangladesh,226225
Turkey,227019
Italy,246286
Colombia,257101
Saudi Arabia,268934
Spain,272421
Pakistan,274289
Iran,293606
United Kingdom,301708
Chile,347923
Peru,389717
Mexico,395489
South Africa,452529
Russia,816680
India,1480073
Brazil,2442375
US,4290259
